#{"t_start": 1778597934.5753849, "env_id": "LunarLander-v3"}
r,l,t
193.641284,702,534.85668
110.803818,592,535.780961
-71.151403,154,537.360849
130.384355,743,538.464258
184.596483,583,545.769743
-71.310927,218,546.113721
165.696403,635,548.422412
-37.755629,328,548.925164
135.022095,745,550.050844
-91.75732,615,550.969691
60.830941,1000,553.847497
-59.624693,164,554.109739
200.498006,586,554.991403
-109.193056,444,555.665424
149.355564,477,557.696858
165.723248,652,558.69773
194.696033,645,559.649414
180.341819,499,561.610468
-58.259132,192,561.87744
-32.563365,418,562.500675
-36.733341,438,563.190806
-91.099018,509,563.966666
208.599938,576,566.115454
-102.795075,456,566.766809
176.062003,648,575.280235
26.337228,1000,578.009363
196.067463,529,578.782676
130.875284,605,579.651702
-31.111481,573,580.486219
35.097717,1000,583.332747
-67.001876,390,583.905635
76.191051,1000,586.710105
214.503389,500,587.486313
184.954787,575,588.370216
193.261046,677,590.662729
-19.504007,242,591.02178
73.317542,1000,592.535234
-49.061995,585,593.406955
194.158609,419,595.450372
176.995039,792,602.622092
87.669956,1000,604.111185
195.820741,468,606.105619
-44.967902,463,606.807948
164.665972,502,607.536266
108.537153,714,609.951231
157.382982,733,610.994695
79.877751,932,612.334799
-165.828348,663,614.623748
-61.76188,520,615.39962
18.726684,1000,617.038908
178.089093,657,619.382854
219.202255,513,620.185625
219.454108,364,620.701147
220.413159,497,621.412826
210.845521,462,623.421873
228.64397,491,630.1844
-26.304113,231,630.534802
274.368894,542,631.344886
16.120613,385,631.922321
225.894784,512,634.109641
217.206314,523,634.896892
-43.404826,461,635.619039
-115.137572,566,636.446254
193.610049,425,638.467106
-18.256821,1000,639.937491
53.857509,1000,642.795503
217.43908,499,643.534741
211.639747,451,644.192232
57.647072,1000,647.024036
87.854701,747,648.114552
186.91292,473,648.796882
165.466447,392,649.415505
-166.75551,739,658.886521
85.07979,758,660.024485
-134.121549,714,661.055262
-52.057969,265,662.800435
210.231307,566,663.648319
209.936688,462,664.315586
-62.895719,677,665.300063
-8.049607,323,667.155067
-85.009398,753,668.24678
106.247633,1000,669.690277
-43.495699,1000,672.607243
-40.960884,1000,674.110294
-18.233715,310,676.046821
-133.601919,791,677.275597
202.190299,504,677.991017
156.515639,775,687.85667
187.295288,599,688.705326
-150.415427,892,689.990995
152.115727,812,692.579024
114.634232,649,693.541878
221.320782,525,694.307911
115.965359,956,697.090886
91.309575,851,698.344968
156.156128,784,700.803594
171.668804,605,701.680128
18.684049,1000,703.166981
110.283463,910,705.869625
147.145351,975,707.328342
-30.125719,1000,715.627913
215.476654,593,716.492692
-70.097793,1000,719.192558
-18.568451,1000,720.577711
-66.81339,364,721.081939
137.674738,726,723.280465
2.055004,1000,724.693398
147.83886,894,725.955787
192.438661,741,728.509982
-4.743562,1000,729.9103
131.350057,716,732.191919
-70.776193,1000,733.580773
-85.357849,1000,741.695707
204.046817,495,742.395315
167.679731,909,743.672263
-39.12883,384,744.23127
207.161358,588,746.414644
-15.890056,1000,747.86413
-157.399338,751,750.288546
-107.28583,902,751.618414
150.38611,684,752.610326
123.01156,806,755.161098
139.77482,866,756.418801
-15.405447,1000,759.072627
146.232514,466,759.739089
67.16112,975,766.234368
219.736933,543,768.384723
183.64942,625,769.290562
23.908224,1000,770.795539
177.357972,641,773.079502
149.958088,738,774.186489
-97.300098,594,775.064857
-51.459376,339,776.956623
174.546118,583,777.820687
-146.165469,769,778.946726
212.908072,512,781.089487
-38.342577,209,781.433066
197.708049,398,782.015574
-40.65505,243,782.373666
172.095794,593,783.230033
-10.388958,1000,786.105286
184.765008,700,792.424968
120.192705,949,795.064586
-74.540341,240,795.43079
-45.680161,1000,796.889838
147.225143,857,799.446874
204.522697,373,799.970957
75.972131,1000,801.498686
184.476081,635,803.704784
168.708864,766,804.83449
167.744408,512,805.569627
-65.23809,346,806.089072
43.087329,1000,808.930129
-30.670953,1000,810.404881
-82.63689,916,813.112499
127.262841,984,820.177968
-54.040665,435,820.807056
206.173996,430,822.775509
197.814169,547,823.59876
-4.395753,315,824.032735
-71.933457,385,824.598523
236.378342,603,826.844475
148.034827,892,828.161177
274.358171,520,828.949882
197.468734,705,831.361778
-117.292947,433,832.027564
254.481613,603,832.912593
-98.723544,304,833.341564
-47.187178,420,833.943133
-40.306664,323,835.854167
196.262248,561,836.72856
176.115873,725,837.777511
181.652595,473,838.484568
170.377636,963,846.882456
-8.144174,1000,848.330585
64.945621,1000,851.081007
169.493044,677,852.048939
178.311721,676,854.470848
173.66063,667,855.423783
189.076137,662,856.359603
125.986912,677,858.721584
177.230706,782,859.837287
-50.596961,1000,861.269625
197.265083,614,863.583612
202.92767,466,864.296192
8.981123,1000,865.87668
-30.687823,454,873.435914
-70.394389,315,873.897846
-75.436589,339,874.393965
101.964958,696,875.404722
128.946257,604,877.606716
202.04551,591,878.472862
-86.036487,629,879.421853
173.237833,565,880.269928
207.992444,518,882.487529
179.869552,603,883.404426
-13.072123,469,884.094226
142.704649,741,886.554576
126.862062,536,887.336013
-167.01525,760,888.450263
-35.075735,339,888.957327
195.744582,583,891.187834
-37.812299,590,892.130793
-101.390712,326,892.631698
120.722559,759,895.08993
-67.821171,338,900.292713
190.413172,544,901.093341
77.320829,957,902.54863
187.909484,543,904.770942
-126.028506,774,905.908032
105.697092,938,908.524953
-65.797339,688,909.576892
175.742638,479,910.254806
212.9272,466,910.932262
192.65743,577,913.170909
-61.334111,736,914.560006
180.355339,844,915.876224
166.062618,673,918.106534
100.215733,973,919.490486
169.626497,492,925.446803
-115.390877,717,927.827548
159.499611,825,929.020636
148.261762,852,931.586473
146.946028,725,932.644916
-59.979307,288,933.063653
191.855584,634,933.978656
