#{"t_start": 1778599250.2694674, "env_id": "LunarLander-v3"}
r,l,t
-6.004407,1000,259.262622
-25.454217,1000,260.277804
-223.79414,937,261.21113
33.965842,1000,262.19823
-223.597903,873,263.04511
-204.736616,945,264.013557
-49.03977,1000,265.048703
-28.43432,1000,266.093394
29.112901,1000,267.152544
-14.478064,1000,268.192749
-65.729513,1000,273.634605
-43.360276,1000,274.645377
-35.013757,1000,275.657946
-36.786066,1000,276.680479
-23.203961,1000,277.697383
-3.83,1000,278.729536
-92.446505,618,279.367209
-3.473429,1000,280.363027
2.324742,1000,281.405859
-30.268831,1000,282.457912
-20.79157,1000,287.633648
-11.400465,1000,288.63218
-151.221262,767,289.374721
-33.731178,1000,290.420177
-10.566138,1000,291.483869
12.080341,1000,292.529607
-33.377352,1000,293.5811
-23.171084,1000,294.633857
-25.276582,1000,295.679673
13.493211,1000,296.703273
-22.526424,1000,301.903357
-3.486555,1000,302.963091
-22.037257,1000,303.985055
-83.649354,1000,304.995129
-40.72139,1000,305.998683
-26.479189,1000,306.98617
-43.108733,1000,307.983743
30.709493,1000,308.991355
-6.470389,1000,310.056797
22.266099,1000,311.100576
-32.348344,1000,316.773111
-51.658853,1000,317.823512
-6.498278,1000,318.877985
-2.553901,1000,319.930306
8.643519,1000,320.978426
-42.728248,102,321.092056
-34.38597,1000,322.14046
-16.738502,1000,323.197851
-17.243468,1000,324.2524
-21.301685,1000,325.264088
16.149253,1000,326.270468
23.548783,1000,331.490747
-39.387316,1000,332.4833
-71.831512,1000,333.482116
0.998395,1000,334.460226
10.516957,1000,335.456487
-4.925573,1000,336.432566
-31.434201,1000,337.40278
-25.454998,1000,338.401324
-73.852122,1000,339.374252
-106.066827,482,339.853655
-90.533212,674,340.526905
-128.894386,553,344.947088
-83.455109,1000,345.931045
-61.873094,1000,346.912845
-49.587452,1000,347.898849
156.386849,692,348.573574
15.063782,1000,349.559479
-18.89999,1000,350.532147
-33.230949,1000,351.507633
4.294733,148,351.652122
-18.110333,1000,352.635367
1.282231,1000,353.653783
-39.162178,1000,354.657789
-29.914843,1000,359.789021
-15.859309,1000,360.890361
-22.005779,1000,362.021586
-19.133196,1000,363.113939
237.62497,239,363.369708
35.572917,1000,364.450721
-19.670223,1000,365.533374
-13.778584,1000,366.636423
-20.987574,1000,367.690441
-22.270623,1000,368.729761
-29.52033,1000,374.940418
-48.728449,1000,376.01597
30.48813,144,376.15402
-13.424994,1000,377.194578
-25.958338,1000,378.243404
20.614612,147,378.407916
-7.009354,1000,379.451851
-43.383475,1000,380.536517
-38.523393,1000,381.616056
17.70126,1000,382.722503
23.799909,1000,383.79292
31.78951,178,383.996797
-48.480473,1000,385.050694
16.438607,1000,390.842459
16.313965,1000,391.864403
6.927536,122,391.996777
-27.067299,1000,393.056391
0.565988,1000,394.096678
-117.673632,57,394.161675
15.539769,147,394.304432
32.647251,1000,395.350983
243.039383,225,395.578347
-12.495632,1000,396.618926
-21.525232,1000,397.660794
-31.101464,1000,398.693321
233.775751,435,399.166914
-6.606016,456,399.659521
-6.595262,1000,404.430995
-0.865591,1000,405.485833
12.001377,206,405.711257
-58.923482,1000,406.753424
15.385649,1000,407.788997
-29.358715,1000,408.818409
26.22108,1000,409.894744
296.987856,260,410.180966
217.237742,551,410.740582
12.475723,1000,411.825142
58.566708,150,411.981929
-1.55446,1000,413.026654
183.089929,360,413.402436
159.378304,781,414.238447
-12.280406,1000,419.476216
202.938724,345,419.809492
-79.086025,499,420.295442
-62.852388,1000,421.297939
-6.373518,1000,422.340354
16.752473,1000,423.388679
-9.891863,1000,424.420535
-10.504155,1000,425.471963
16.941665,1000,426.518682
179.888619,764,427.334072
246.486532,310,427.657915
196.92954,482,428.1588
222.039214,715,428.903642
-72.216137,1000,434.564684
178.676492,782,435.374582
-0.867907,1000,436.374534
-16.521639,1000,437.44909
-3.482628,1000,438.43936
-18.306438,1000,439.478285
16.924914,1000,440.5068
-16.018573,1000,441.542995
-19.849512,1000,442.562787
32.671037,1000,443.568395
-20.006761,1000,448.873393
-20.698619,1000,449.909672
23.415505,1000,450.97429
